"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2013","Albania","Oil and petroleum products","Total","Thousand tonnes","1.202,000",""
"2013","Serbia","Oil and petroleum products","Total","Thousand tonnes","567,000",""
"2013","Turkey","Oil and petroleum products","Total","Thousand tonnes","8.085,000",""
"2013","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","1,000",""
"2013","Moldova","Oil and petroleum products","Total","Thousand tonnes","33,000",""
"2013","Ukraine","Oil and petroleum products","Total","Thousand tonnes","1.007,000",""
"2013","Georgia","Oil and petroleum products","Total","Thousand tonnes","70,000",""
"2014","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","308.958,195",""
"2014","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","362.655,195",""
"2014","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","260.801,195",""
"2014","Belgium","Oil and petroleum products","Total","Thousand tonnes","29.542,000",""
"2014","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","4.020,000",""
"2014","Czechia","Oil and petroleum products","Total","Thousand tonnes","2.039,000",""
"2014","Denmark","Oil and petroleum products","Total","Thousand tonnes","12.530,000",""
"2014","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","21.266,000",""
"2014","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.147,600",""
"2014","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.287,000",""
"2014","Greece","Oil and petroleum products","Total","Thousand tonnes","15.553,000",""
"2014","Spain","Oil and petroleum products","Total","Thousand tonnes","21.666,000",""
"2014","France","Oil and petroleum products","Total","Thousand tonnes","19.187,000",""
"2014","Croatia","Oil and petroleum products","Total","Thousand tonnes","1.544,000",""
"2014","Italy","Oil and petroleum products","Total","Thousand tonnes","20.896,000",""
"2014","Cyprus","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2014","Latvia","Oil and petroleum products","Total","Thousand tonnes","818,000",""
"2014","Lithuania","Oil and petroleum products","Total","Thousand tonnes","6.970,000",""
"2014","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","5,866",""
"2014","Hungary","Oil and petroleum products","Total","Thousand tonnes","3.259,000",""
"2014","Malta","Oil and petroleum products","Total","Thousand tonnes","206,000",""
"2014","Netherlands","Oil and petroleum products","Total","Thousand tonnes","101.254,273",""
"2014","Austria","Oil and petroleum products","Total","Thousand tonnes","2.720,456",""
"2014","Poland","Oil and petroleum products","Total","Thousand tonnes","7.535,000",""
"2014","Portugal","Oil and petroleum products","Total","Thousand tonnes","4.734,000",""
"2014","Romania","Oil and petroleum products","Total","Thousand tonnes","4.665,000",""
