"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2014","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","1.691,000",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","558,000",""
"2014","Moldova","Oil and petroleum products","Total","Thousand tonnes","781,000",""
"2014","Ukraine","Oil and petroleum products","Total","Thousand tonnes","8.111,000",""
"2014","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.130,000",""
"2015","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","848.509,117",""
"2015","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","931.342,645",""
"2015","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","731.097,201",""
"2015","Belgium","Oil and petroleum products","Total","Thousand tonnes","59.167,400",""
"2015","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.972,000",""
"2015","Czechia","Oil and petroleum products","Total","Thousand tonnes","11.057,000",""
"2015","Denmark","Oil and petroleum products","Total","Thousand tonnes","13.901,916",""
"2015","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","128.711,000",""
"2015","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.682,000",""
"2015","Ireland","Oil and petroleum products","Total","Thousand tonnes","9.025,000",""
"2015","Greece","Oil and petroleum products","Total","Thousand tonnes","31.420,000",""
"2015","Spain","Oil and petroleum products","Total","Thousand tonnes","83.682,000",""
"2015","France","Oil and petroleum products","Total","Thousand tonnes","101.342,000",""
"2015","Croatia","Oil and petroleum products","Total","Thousand tonnes","4.521,000",""
"2015","Italy","Oil and petroleum products","Total","Thousand tonnes","80.536,000",""
"2015","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.468,000",""
"2015","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.706,000",""
"2015","Lithuania","Oil and petroleum products","Total","Thousand tonnes","11.080,000",""
"2015","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.673,132",""
"2015","Hungary","Oil and petroleum products","Total","Thousand tonnes","9.369,000",""
"2015","Malta","Oil and petroleum products","Total","Thousand tonnes","2.719,000",""
"2015","Netherlands","Oil and petroleum products","Total","Thousand tonnes","154.194,595",""
"2015","Austria","Oil and petroleum products","Total","Thousand tonnes","14.185,074",""
"2015","Poland","Oil and petroleum products","Total","Thousand tonnes","31.953,000",""
"2015","Portugal","Oil and petroleum products","Total","Thousand tonnes","17.730,000",""
"2015","Romania","Oil and petroleum products","Total","Thousand tonnes","9.718,000",""
"2015","Slovenia","Oil and petroleum products","Total","Thousand tonnes","4.035,000",""
"2015","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.562,000",""
"2015","Finland","Oil and petroleum products","Total","Thousand tonnes","16.179,000",""
"2015","Sweden","Oil and petroleum products","Total","Thousand tonnes","27.920,000",""
"2015","Iceland","Oil and petroleum products","Total","Thousand tonnes","836,000",""
"2015","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2015","Norway","Oil and petroleum products","Total","Thousand tonnes","6.497,000",""
"2015","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","82.833,528",""
"2015","Montenegro","Oil and petroleum products","Total","Thousand tonnes","302,000",""
"2015","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.142,000",""
"2015","Albania","Oil and petroleum products","Total","Thousand tonnes","1.193,000",""
"2015","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.889,000",""
"2015","Turkey","Oil and petroleum products","Total","Thousand tonnes","48.475,000",""
"2015","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","1.807,000",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","704,000",""
"2015","Moldova","Oil and petroleum products","Total","Thousand tonnes","831,000",""
"2015","Ukraine","Oil and petroleum products","Total","Thousand tonnes","7.976,000",""
"2015","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.479,000",""
"2016","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","853.523,528",""
"2016","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","937.450,806",""
"2016","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","734.283,343",""
"2016","Belgium","Oil and petroleum products","Total","Thousand tonnes","58.137,700",""
"2016","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","9.053,000",""
"2016","Czechia","Oil and petroleum products","Total","Thousand tonnes","10.210,000",""
"2016","Denmark","Oil and petroleum products","Total","Thousand tonnes","13.094,185",""
"2016","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","130.004,000",""
"2016","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.812,000",""
"2016","Ireland","Oil and petroleum products","Total","Thousand tonnes","8.914,000",""
"2016","Greece","Oil and petroleum products","Total","Thousand tonnes","32.779,000",""
"2016","Spain","Oil and petroleum products","Total","Thousand tonnes","85.471,000",""
"2016","France","Oil and petroleum products","Total","Thousand tonnes","97.495,000",""
"2016","Croatia","Oil and petroleum products","Total","Thousand tonnes","4.674,000",""
"2016","Italy","Oil and petroleum products","Total","Thousand tonnes","81.483,000",""
"2016","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.625,000",""
"2016","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.740,000",""
"2016","Lithuania","Oil and petroleum products","Total","Thousand tonnes","11.484,000",""
"2016","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.701,236",""
"2016","Hungary","Oil and petroleum products","Total","Thousand tonnes","9.208,000",""
"2016","Malta","Oil and petroleum products","Total","Thousand tonnes","2.690,000",""
"2016","Netherlands","Oil and petroleum products","Total","Thousand tonnes","154.244,938",""
"2016","Austria","Oil and petroleum products","Total","Thousand tonnes","14.130,469",""
"2016","Poland","Oil and petroleum products","Total","Thousand tonnes","32.039,000",""
"2016","Portugal","Oil and petroleum products","Total","Thousand tonnes","17.390,000",""
"2016","Romania","Oil and petroleum products","Total","Thousand tonnes","10.510,000",""
"2016","Slovenia","Oil and petroleum products","Total","Thousand tonnes","4.548,000",""
"2016","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.551,000",""
"2016","Finland","Oil and petroleum products","Total","Thousand tonnes","18.083,000",""
"2016","Sweden","Oil and petroleum products","Total","Thousand tonnes","30.452,000",""
"2016","Iceland","Oil and petroleum products","Total","Thousand tonnes","928,515",""
"2016","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2016","Norway","Oil and petroleum products","Total","Thousand tonnes","6.250,000",""
"2016","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","83.927,278",""
"2016","Montenegro","Oil and petroleum products","Total","Thousand tonnes","357,000",""
"2016","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.212,916",""
"2016","Albania","Oil and petroleum products","Total","Thousand tonnes","1.208,000",""
"2016","Serbia","Oil and petroleum products","Total","Thousand tonnes","3.357,000",""
"2016","Turkey","Oil and petroleum products","Total","Thousand tonnes","49.736,000",""
"2016","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","1.999,000",""
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","683,000",""
"2016","Moldova","Oil and petroleum products","Total","Thousand tonnes","899,000",""
"2016","Ukraine","Oil and petroleum products","Total","Thousand tonnes","9.461,000",""
"2016","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.550,000",""
"2017","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","868.440,697",""
